Unnamed: 0,warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
38,22,57,57.002,220,365,4,21,1854,3,1,1856,1854,2,3,1,3,1.0,95000.0,100000.0,,,195000.0,1,46.603354,1.8883335,64.6863136,97.7453061,France,FRN,Russia,RUS
39,22,57,57.002,220,365,4,21,1854,3,1,1856,1855,2,3,1,3,1.0,95000.0,100000.0,,,195000.0,3,46.603354,1.8883335,64.6863136,97.7453061,France,FRN,Russia,RUS
40,22,57,57.002,220,365,4,21,1854,3,1,1856,1856,2,3,1,3,1.0,95000.0,100000.0,,,195000.0,2,46.603354,1.8883335,64.6863136,97.7453061,France,FRN,Russia,RUS
41,22,57,57.002,365,220,4,21,1854,3,1,1856,1854,3,2,3,1,3.0,100000.0,95000.0,,,195000.0,1,64.6863136,97.7453061,46.603354,1.8883335,Russia,RUS,France,FRN
42,22,57,57.002,365,220,4,21,1854,3,1,1856,1855,3,2,3,1,3.0,100000.0,95000.0,,,195000.0,3,64.6863136,97.7453061,46.603354,1.8883335,Russia,RUS,France,FRN
43,22,57,57.002,365,220,4,21,1854,3,1,1856,1856,3,2,3,1,3.0,100000.0,95000.0,,,195000.0,2,64.6863136,97.7453061,46.603354,1.8883335,Russia,RUS,France,FRN
44,22,57,57.004,325,365,1,10,1855,2,1,1856,1855,2,3,1,3,1.0,2200.0,100000.0,,,102200.0,1,42.6384261,12.674297,64.6863136,97.7453061,Italy,ITA,Russia,RUS
45,22,57,57.004,325,365,1,10,1855,2,1,1856,1856,2,3,1,3,1.0,2200.0,100000.0,,,102200.0,2,42.6384261,12.674297,64.6863136,97.7453061,Italy,ITA,Russia,RUS
46,22,57,57.004,365,325,1,10,1855,2,1,1856,1855,3,2,3,1,3.0,100000.0,2200.0,,,102200.0,1,64.6863136,97.7453061,42.6384261,12.674297,Russia,RUS,Italy,ITA
47,22,57,57.004,365,325,1,10,1855,2,1,1856,1856,3,2,3,1,3.0,100000.0,2200.0,,,102200.0,2,64.6863136,97.7453061,42.6384261,12.674297,Russia,RUS,Italy,ITA
48,22,57,57.005,365,640,11,2,1853,2,1,1856,1853,3,1,3,1,3.0,100000.0,45000.0,,,145000.0,3,64.6863136,97.7453061,38.9597594,34.9249653,Russia,RUS,Turkey,TUR
49,22,57,57.005,365,640,11,2,1853,2,1,1856,1854,3,1,3,1,3.0,100000.0,45000.0,,,145000.0,1,64.6863136,97.7453061,38.9597594,34.9249653,Russia,RUS,Turkey,TUR
50,22,57,57.005,365,640,11,2,1853,2,1,1856,1855,3,1,3,1,3.0,100000.0,45000.0,,,145000.0,2,64.6863136,97.7453061,38.9597594,34.9249653,Russia,RUS,Turkey,TUR
51,22,57,57.005,365,640,11,2,1853,2,1,1856,1856,3,1,3,1,3.0,100000.0,45000.0,,,145000.0,4,64.6863136,97.7453061,38.9597594,34.9249653,Russia,RUS,Turkey,TUR
52,22,57,57.005,640,365,11,2,1853,2,1,1856,1853,1,3,1,3,1.0,45000.0,100000.0,,,145000.0,4,38.9597594,34.9249653,64.6863136,97.7453061,Turkey,TUR,Russia,RUS
53,22,57,57.005,640,365,11,2,1853,2,1,1856,1854,1,3,1,3,1.0,45000.0,100000.0,,,145000.0,2,38.9597594,34.9249653,64.6863136,97.7453061,Turkey,TUR,Russia,RUS
54,22,57,57.005,640,365,11,2,1853,2,1,1856,1855,1,3,1,3,1.0,45000.0,100000.0,,,145000.0,1,38.9597594,34.9249653,64.6863136,97.7453061,Turkey,TUR,Russia,RUS
55,22,57,57.005,640,365,11,2,1853,2,1,1856,1856,1,3,1,3,1.0,45000.0,100000.0,,,145000.0,3,38.9597594,34.9249653,64.6863136,97.7453061,Turkey,TUR,Russia,RUS
56,25,8,8.001,200,630,11,1,1856,4,5,1857,1856,1,3,1,3,1.0,500.0,1500.0,,,2000.0,2,54.70235450000001,-3.2765753,32.9407495,52.9471344,United Kingdom,UKG,Iran,IRN
57,25,8,8.001,200,630,11,1,1856,4,5,1857,1857,1,3,1,3,1.0,500.0,1500.0,,,2000.0,1,54.70235450000001,-3.2765753,32.9407495,52.9471344,United Kingdom,UKG,Iran,IRN
58,25,8,8.001,630,200,11,1,1856,4,5,1857,1856,3,1,3,1,3.0,1500.0,500.0,,,2000.0,2,32.9407495,52.9471344,54.70235450000001,-3.2765753,Iran,IRN,United Kingdom,UKG
59,25,8,8.001,630,200,11,1,1856,4,5,1857,1857,3,1,3,1,3.0,1500.0,500.0,,,2000.0,1,32.9407495,52.9471344,54.70235450000001,-3.2765753,Iran,IRN,United Kingdom,UKG
60,28,115,115.002,220,300,5,20,1859,7,11,1859,1859,1,3,1,3,1.0,12500.0,7500.0,,,20000.0,1,46.603354,1.8883335,46.35038755,19.13865633,France,FRN,Austria-Hungary,AUH
61,28,115,115.002,300,220,5,20,1859,7,11,1859,1859,3,1,3,1,3.0,7500.0,12500.0,,,20000.0,1,46.35038755,19.13865633,46.603354,1.8883335,Austria-Hungary,AUH,France,FRN
62,28,115,115.004,300,325,4,29,1859,7,11,1859,1859,1,3,1,3,3.0,12500.0,2500.0,,,15000.0,1,46.35038755,19.13865633,42.6384261,12.674297,Austria-Hungary,AUH,Italy,ITA
63,28,115,115.004,325,300,4,29,1859,7,11,1859,1859,3,1,3,1,1.0,2500.0,12500.0,,,15000.0,1,42.6384261,12.674297,46.35038755,19.13865633,Italy,ITA,Austria-Hungary,AUH
64,31,1580,1580.001,230,600,10,22,1859,3,25,1860,1859,1,3,1,3,1.0,4000.0,6000.0,,,10000.0,2,39.3262345,-4.838064900000001,31.1728205,-7.3362482,Spain,SPN,Morocco,MOR
65,31,1580,1580.001,230,600,10,22,1859,3,25,1860,1860,1,3,1,3,1.0,4000.0,6000.0,,,10000.0,1,39.3262345,-4.838064900000001,31.1728205,-7.3362482,Spain,SPN,Morocco,MOR
66,31,1580,1580.001,600,230,10,22,1859,3,25,1860,1859,3,1,3,1,3.0,6000.0,4000.0,,,10000.0,2,31.1728205,-7.3362482,39.3262345,-4.838064900000001,Morocco,MOR,Spain,SPN
67,31,1580,1580.001,600,230,10,22,1859,3,25,1860,1860,3,1,3,1,3.0,6000.0,4000.0,,,10000.0,1,31.1728205,-7.3362482,39.3262345,-4.838064900000001,Morocco,MOR,Spain,SPN
68,34,112,112.002,325,327,9,10,1860,9,29,1860,1860,1,3,1,3,1.0,300.0,700.0,,,1000.0,1,42.6384261,12.674297,41.901134000000006,12.453314,Italy,ITA,Papal States,PAP
69,34,112,112.002,327,325,9,10,1860,9,29,1860,1860,3,1,3,1,3.0,700.0,300.0,,,1000.0,1,41.901134000000006,12.453314,42.6384261,12.674297,Papal States,PAP,Italy,ITA
70,37,113,113.002,325,329,11,3,1860,2,13,1861,1860,1,3,1,3,1.0,600.0,400.0,,,1000.0,2,42.6384261,12.674297,37.4922295,15.0704098,Italy,ITA,Two Sicilies,SIC
71,37,113,113.002,325,329,11,3,1860,2,13,1861,1861,1,3,1,3,1.0,600.0,400.0,,,1000.0,1,42.6384261,12.674297,37.4922295,15.0704098,Italy,ITA,Two Sicilies,SIC
72,37,113,113.002,329,325,11,3,1860,2,13,1861,1860,3,1,3,1,3.0,400.0,600.0,,,1000.0,1,37.4922295,15.0704098,42.6384261,12.674297,Two Sicilies,SIC,Italy,ITA
73,37,113,113.002,329,325,11,3,1860,2,13,1861,1861,3,1,3,1,3.0,400.0,600.0,,,1000.0,2,37.4922295,15.0704098,42.6384261,12.674297,Two Sicilies,SIC,Italy,ITA
74,40,135,135.002,70,220,5,5,1862,2,5,1867,1862,3,1,3,1,1.0,12000.0,8000.0,,,20000.0,1,19.4326009,-99.1333416,46.603354,1.8883335,Mexico,MEX,France,FRN
75,40,135,135.002,70,220,5,5,1862,2,5,1867,1863,3,1,3,1,1.0,12000.0,8000.0,,,20000.0,5,19.4326009,-99.1333416,46.603354,1.8883335,Mexico,MEX,France,FRN
