year,stateA,stateB,totalStateA,totalStateB,totalsmoth,importance
1913.0,300.0,350.0,1240.3614502,58.1084156,8.1800003,0.00659485208822076
1913.0,300.0,325.0,1240.3614502,1188.8799439,92.35000600000001,0.07445410850612068
1913.0,255.0,365.0,4972.638428,1474.4898071999999,670.33997,0.13480569313574872
1913.0,300.0,365.0,1240.3614502,1474.4898071999999,51.450001,0.03489342601676006
1913.0,325.0,355.0,1188.8799439,71.16466522,1.98,0.0016654330911705104
1913.0,211.0,255.0,1485.9837646,4972.638428,248.55,0.04998352556672154
1913.0,360.0,640.0,246.65635679999997,290.90908809999996,10.04,0.03451250033326133
1913.0,350.0,640.0,58.1084156,290.90908809999996,0.95999998,0.003299999963115625
1913.0,325.0,640.0,1188.8799439,290.90908809999996,28.939999,0.024342238380323983
1913.0,235.0,255.0,119.48558044,4972.638428,17.85,0.003589643658684287
1913.0,355.0,365.0,71.16466522,1474.4898071999999,6.0499997,0.004103113951997213
1913.0,200.0,365.0,5922.110108,1474.4898071999999,276.28,0.04665229030895283
1913.0,200.0,640.0,5922.110108,290.90908809999996,60.849998,0.010275053467479365
1913.0,220.0,255.0,2951.388916,4972.638428,344.71002000000004,0.06932135223405791
1913.0,220.0,640.0,2951.388916,290.90908809999996,34.139998999999996,0.011567434849037021
1913.0,200.0,255.0,5922.110108,4972.638428,583.31,0.09849698660820644
1913.0,255.0,325.0,4972.638428,1188.8799439,191.83,0.03857710605296396
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1914.0,365.0,640.0,1064.3005371,,12.48,0.011726011182898989
1919.0,220.0,640.0,6523.327393,41.0,16.790001,0.002573840003495284
1919.0,220.0,365.0,6523.327393,5.864232719,9.5299997,0.0014609108398003104
1919.0,350.0,640.0,448.23529060000004,41.0,30.970001,0.0690931786262168
1929.0,365.0,710.0,925.2989502,1460.1300049,25.099998,0.01719024875577365
1931.0,710.0,740.0,796.6000061,1544.3902588,166.27,0.10766061172206093
1933.0,325.0,530.0,895.3140869,,0.0,0.0
1933.0,325.0,530.0,895.3140869,,0.0,0.0
1933.0,325.0,530.0,895.3140869,,0.0,0.0
1933.0,325.0,530.0,895.3140869,,0.0,0.0
1937.0,360.0,365.0,378.2798767,605.5226746,0.62,0.0010239088080550634
1937.0,325.0,920.0,1282.1776734,485.951767,0.70999998,0.0005537453932708606
1937.0,710.0,740.0,531.4278869000001,2580.115235,86.82,0.03364965983777077
1938.0,230.0,365.0,250.0,552.2088318000001,16.0,0.028974545640361844
1938.0,365.0,740.0,552.2088318000001,1628.0,3.0999999,0.0019041768427518425
1938.0,290.0,365.0,467.0,552.2088318000001,2.29,0.004146981844776789
1938.0,325.0,900.0,1133.0,870.0779723999999,15.0,0.01323918799646955
1938.0,310.0,360.0,277.0,291.0,17.0,0.058419243986254296
1938.0,20.0,325.0,1218.0715943000002,1133.0,5.0,0.004104849028084751
1938.0,2.0,325.0,5054.0,1133.0,111.0,0.021962801741195092
1938.0,200.0,800.0,6438.0,135.0,9.0,0.0013979496738117428
1938.0,710.0,800.0,422.00999449999995,135.0,10.0,0.02369612125382969
1938.0,325.0,560.0,1133.0,833.4285889,10.0,0.0088261253309797
