warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude
22,57,57.002,365,220,4,21,1854,3,1,1856,1854,3,2,3,1,3,100000,95000,,,195000,1,64.6863136,97.7453061,46.603354,1.8883335
22,57,57.002,365,220,4,21,1854,3,1,1856,1855,3,2,3,1,3,100000,95000,,,195000,3,64.6863136,97.7453061,46.603354,1.8883335
22,57,57.002,365,220,4,21,1854,3,1,1856,1856,3,2,3,1,3,100000,95000,,,195000,2,64.6863136,97.7453061,46.603354,1.8883335
22,57,57.004,325,365,1,10,1855,2,1,1856,1855,2,3,1,3,1,2200,100000,,,102200,1,42.6384261,12.674297,64.6863136,97.7453061
22,57,57.004,325,365,1,10,1855,2,1,1856,1856,2,3,1,3,1,2200,100000,,,102200,2,42.6384261,12.674297,64.6863136,97.7453061
22,57,57.004,365,325,1,10,1855,2,1,1856,1855,3,2,3,1,3,100000,2200,,,102200,1,64.6863136,97.7453061,42.6384261,12.674297
22,57,57.004,365,325,1,10,1855,2,1,1856,1856,3,2,3,1,3,100000,2200,,,102200,2,64.6863136,97.7453061,42.6384261,12.674297
22,57,57.005,365,640,11,2,1853,2,1,1856,1853,3,1,3,1,3,100000,45000,,,145000,3,64.6863136,97.7453061,38.9597594,34.9249653
22,57,57.005,365,640,11,2,1853,2,1,1856,1854,3,1,3,1,3,100000,45000,,,145000,1,64.6863136,97.7453061,38.9597594,34.9249653
22,57,57.005,365,640,11,2,1853,2,1,1856,1855,3,1,3,1,3,100000,45000,,,145000,2,64.6863136,97.7453061,38.9597594,34.9249653
22,57,57.005,365,640,11,2,1853,2,1,1856,1856,3,1,3,1,3,100000,45000,,,145000,4,64.6863136,97.7453061,38.9597594,34.9249653
22,57,57.005,640,365,11,2,1853,2,1,1856,1853,1,3,1,3,1,45000,100000,,,145000,4,38.9597594,34.9249653,64.6863136,97.7453061
22,57,57.005,640,365,11,2,1853,2,1,1856,1854,1,3,1,3,1,45000,100000,,,145000,2,38.9597594,34.9249653,64.6863136,97.7453061
22,57,57.005,640,365,11,2,1853,2,1,1856,1855,1,3,1,3,1,45000,100000,,,145000,1,38.9597594,34.9249653,64.6863136,97.7453061
22,57,57.005,640,365,11,2,1853,2,1,1856,1856,1,3,1,3,1,45000,100000,,,145000,3,38.9597594,34.9249653,64.6863136,97.7453061
25,8,8.001,200,630,11,1,1856,4,5,1857,1856,1,3,1,3,1,500,1500,,,2000,2,54.7023545,-3.2765753,32.9407495,52.9471344
25,8,8.001,200,630,11,1,1856,4,5,1857,1857,1,3,1,3,1,500,1500,,,2000,1,54.7023545,-3.2765753,32.9407495,52.9471344
25,8,8.001,630,200,11,1,1856,4,5,1857,1856,3,1,3,1,3,1500,500,,,2000,2,32.9407495,52.9471344,54.7023545,-3.2765753
25,8,8.001,630,200,11,1,1856,4,5,1857,1857,3,1,3,1,3,1500,500,,,2000,1,32.9407495,52.9471344,54.7023545,-3.2765753
28,115,115.002,220,300,5,20,1859,7,11,1859,1859,1,3,1,3,1,12500,7500,,,20000,1,46.603354,1.8883335,46.35038755,19.13865633
28,115,115.002,300,220,5,20,1859,7,11,1859,1859,3,1,3,1,3,7500,12500,,,20000,1,46.35038755,19.13865633,46.603354,1.8883335
28,115,115.004,300,325,4,29,1859,7,11,1859,1859,1,3,1,3,3,12500,2500,,,15000,1,46.35038755,19.13865633,42.6384261,12.674297
