warnum,disno,statea,stateb,year,batdtha,batdthb,batdths,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
151,51,20,710,1952,309,422612,422921,61.0666922,-107.9917071,35.000074,104.999927,Canada,CAN,China,CHN
151,51,20,710,1953,309,422612,422921,61.0666922,-107.9917071,35.000074,104.999927,Canada,CAN,China,CHN
151,51,710,20,1951,422612,309,422921,35.000074,104.999927,61.0666922,-107.9917071,China,CHN,Canada,CAN
151,51,710,20,1952,422612,309,422921,35.000074,104.999927,61.0666922,-107.9917071,China,CHN,Canada,CAN
151,51,710,20,1953,422612,309,422921,35.000074,104.999927,61.0666922,-107.9917071,China,CHN,Canada,CAN
151,51,20,731,1951,309,316579,316888,61.0666922,-107.9917071,40.3736611,127.0870417,Canada,CAN,North Korea,PRK
151,51,20,731,1952,309,316579,316888,61.0666922,-107.9917071,40.3736611,127.0870417,Canada,CAN,North Korea,PRK
151,51,20,731,1953,309,316579,316888,61.0666922,-107.9917071,40.3736611,127.0870417,Canada,CAN,North Korea,PRK
151,51,731,20,1951,316579,309,316888,40.3736611,127.0870417,61.0666922,-107.9917071,North Korea,PRK,Canada,CAN
151,51,731,20,1952,316579,309,316888,40.3736611,127.0870417,61.0666922,-107.9917071,North Korea,PRK,Canada,CAN
151,51,731,20,1953,316579,309,316888,40.3736611,127.0870417,61.0666922,-107.9917071,North Korea,PRK,Canada,CAN
151,51,100,710,1951,140,422612,422752,2.8894434,-73.783892,35.000074,104.999927,Colombia,COL,China,CHN
151,51,100,710,1952,140,422612,422752,2.8894434,-73.783892,35.000074,104.999927,Colombia,COL,China,CHN
151,51,100,710,1953,140,422612,422752,2.8894434,-73.783892,35.000074,104.999927,Colombia,COL,China,CHN
151,51,710,100,1951,422612,140,422752,35.000074,104.999927,2.8894434,-73.783892,China,CHN,Colombia,COL
151,51,710,100,1952,422612,140,422752,35.000074,104.999927,2.8894434,-73.783892,China,CHN,Colombia,COL
151,51,710,100,1953,422612,140,422752,35.000074,104.999927,2.8894434,-73.783892,China,CHN,Colombia,COL
151,51,100,731,1951,140,316579,316719,2.8894434,-73.783892,40.3736611,127.0870417,Colombia,COL,North Korea,PRK
151,51,100,731,1952,140,316579,316719,2.8894434,-73.783892,40.3736611,127.0870417,Colombia,COL,North Korea,PRK
151,51,100,731,1953,140,316579,316719,2.8894434,-73.783892,40.3736611,127.0870417,Colombia,COL,North Korea,PRK
151,51,731,100,1951,316579,140,316719,40.3736611,127.0870417,2.8894434,-73.783892,North Korea,PRK,Colombia,COL
151,51,731,100,1952,316579,140,316719,40.3736611,127.0870417,2.8894434,-73.783892,North Korea,PRK,Colombia,COL
151,51,731,100,1953,316579,140,316719,40.3736611,127.0870417,2.8894434,-73.783892,North Korea,PRK,Colombia,COL
151,51,200,710,1950,710,422612,423322,54.7023545,-3.2765753,35.000074,104.999927,United Kingdom,UKG,China,CHN
151,51,200,710,1951,710,422612,423322,54.7023545,-3.2765753,35.000074,104.999927,United Kingdom,UKG,China,CHN
151,51,200,710,1952,710,422612,423322,54.7023545,-3.2765753,35.000074,104.999927,United Kingdom,UKG,China,CHN
151,51,200,710,1953,710,422612,423322,54.7023545,-3.2765753,35.000074,104.999927,United Kingdom,UKG,China,CHN
151,51,710,200,1950,422612,710,423322,35.000074,104.999927,54.7023545,-3.2765753,China,CHN,United Kingdom,UKG
151,51,710,200,1951,422612,710,423322,35.000074,104.999927,54.7023545,-3.2765753,China,CHN,United Kingdom,UKG
151,51,710,200,1952,422612,710,423322,35.000074,104.999927,54.7023545,-3.2765753,China,CHN,United Kingdom,UKG
151,51,710,200,1953,422612,710,423322,35.000074,104.999927,54.7023545,-3.2765753,China,CHN,United Kingdom,UKG
151,51,200,731,1950,710,316579,317289,54.7023545,-3.2765753,40.3736611,127.0870417,United Kingdom,UKG,North Korea,PRK
151,51,200,731,1951,710,316579,317289,54.7023545,-3.2765753,40.3736611,127.0870417,United Kingdom,UKG,North Korea,PRK
151,51,200,731,1952,710,316579,317289,54.7023545,-3.2765753,40.3736611,127.0870417,United Kingdom,UKG,North Korea,PRK
