date,code,value
2010,KOR,891587.7096
2011,KOR,1079773.444
2012,KOR,1067444.67
2013,KOR,1075210.377
2014,KOR,1098164.734
1945,RUS,106
1946,RUS,1423
1947,RUS,8454
1948,RUS,2532
1949,RUS,2936
1950,RUS,3250
1951,RUS,4282
1952,RUS,5296
1953,RUS,5717
1954,RUS,6405
1955,RUS,6487
1956,RUS,7228
1957,RUS,8319
1958,RUS,8649
1959,RUS,10524
1960,RUS,316
1961,RUS,390
1962,RUS,459
1963,RUS,14331
1964,RUS,15420
1965,RUS,16233
1966,RUS,16754
1967,RUS,18189
1968,RUS,20044
1969,RUS,26982
1970,RUS,24539
1971,RUS,26282
1972,RUS,31408
1973,RUS,42575
1974,RUS,52495
1975,RUS,70279
1976,RUS,75321
1977,RUS,85978
1978,RUS,102765
1979,RUS,122506
1980,RUS,144972
1981,RUS,85970
1982,RUS,81231
1983,RUS,79464
1984,RUS,86392
1985,RUS,98236
1986,RUS,94989
1987,RUS,100613
1988,RUS,111094
1989,RUS,117619
1990,RUS,104483
1991,RUS,92963
1992,RUS,74913
1993,RUS,70799
1994,RUS,101677
1995,RUS,123995
1996,RUS,128483
1997,RUS,137477
1998,RUS,114402
1999,RUS,102751
2000,RUS,136855
2001,RUS,119427
2002,RUS,152732
2003,RUS,188150
2004,RUS,235463
2005,RUS,336690
2006,RUS,424401
2007,RUS,551829
2008,RUS,726746
2009,RUS,445763
2010,RUS,591072
2011,RUS,791242
2012,RUS,841333
2013,RUS,842233
2014,RUS,783458
1945,UKG,6483
1946,UKG,9233
1947,UKG,12250
1948,UKG,14470
1949,UKG,14780
1950,UKG,13100
1951,UKG,17610
1952,UKG,16590
1953,UKG,16250
1954,UKG,16220
1955,UKG,18140
1956,UKG,18940
1957,UKG,19940
1958,UKG,19530
1959,UKG,20650
1960,UKG,22899
1961,UKG,23074
1962,UKG,23623
1963,UKG,25461
1964,UKG,28253
1965,UKG,29361
1966,UKG,31227
1967,UKG,32026
1968,UKG,34303
1969,UKG,37472
1970,UKG,41077
1971,UKG,46933
1972,UKG,52974
1973,UKG,70397
1974,UKG,94410
1975,UKG,98696
1976,UKG,101387
1977,UKG,119031
1978,UKG,143670
1979,UKG,185946
1980,UKG,225818
1981,UKG,204901
1982,UKG,196534
1983,UKG,191674
1984,UKG,198609
1985,UKG,210203
1986,UKG,233397
1987,UKG,285629
1988,UKG,335899
1989,UKG,353880
1990,UKG,408152
1991,UKG,394911
1992,UKG,411568
1993,UKG,385572
1994,UKG,429942
1995,UKG,501893
1996,UKG,541903
1997,UKG,582388
1998,UKG,577973
1999,UKG,590575
2000,UKG,617817
2001,UKG,591422
2002,UKG,611145
2003,UKG,689591
2004,UKG,795170
2005,UKG,915006
2006,UKG,1066803
2007,UKG,1083580
2008,UKG,1132829
2009,UKG,874178
2010,UKG,952156
2011,UKG,1119290
2012,UKG,1095325
2013,UKG,1117999
2014,UKG,1114862
1945,USA,14083
1946,USA,14775
1947,USA,21193
1948,USA,20180
1949,USA,19080
1950,USA,19360
1951,USA,26320
1952,USA,26170
1953,USA,26790
1954,USA,25360
1955,USA,27260
1956,USA,32210
1957,USA,34470
1958,USA,32330
1959,USA,34340
1960,USA,36707
1961,USA,36699
1962,USA,39140
1963,USA,41653
1964,USA,46566
1965,USA,50292
1966,USA,58141
1967,USA,60319
1968,USA,69936
1969,USA,76373
1970,USA,85921
1971,USA,92894
1972,USA,109158
1973,USA,145728
1974,USA,208713
1975,USA,213219
1976,USA,247335
1977,USA,281799
1978,USA,329891
1979,USA,404480
1980,USA,478025
1981,USA,507394
1982,USA,467385
1983,USA,470607
1984,USA,559310
1985,USA,575027
1986,USA,604588
1987,USA,677122
1988,USA,779249
1989,USA,857225
1990,USA,910119
1991,USA,931177
1992,USA,999999
1993,USA,1068953
1994,USA,1201856
1995,USA,1354658
1996,USA,1440917
1997,USA,1586423
1998,USA,1625215
1999,USA,1739276
2000,USA,2010395
2001,USA,1911197
2002,USA,1895669
2003,USA,2029103
2004,USA,2342007
2005,USA,2636819
2006,USA,2956273
2007,USA,3180019
2008,USA,3466062
2009,USA,2660449
2010,USA,3245601
2011,USA,3745508
2012,USA,3880427
2013,USA,3909619
2014,USA,3968606
